tweet_id,claim,evidence
1180157957088174080,0,0
1180157664283779074,1,0
1180157560990633985,1,0
1180157539192844288,0,0
1180157262914097152,1,0
1180157084010270725,1,0
1180156941919801344,0,0
1180156919346012160,0,0
1180156751263522816,1,0
1180156718384402435,0,0
1180156523063971840,0,0
1180156491363426306,1,1
1180156476469456896,1,1
1180156008137740290,1,0
1180155901430382593,0,0
1180155829137428481,0,0
1180155741061156864,0,0
1180155276068114434,1,0
1180155159613263874,1,0
1180155154173222913,1,0
1180155028096638977,0,0
1180154828821073921,1,1
1180154694926323712,1,0
1180154461706166272,0,0
1180154386019999746,0,0
1180154033660727297,0,0
1180153433137004544,0,0
1180153015212417025,0,0
1180153006903435264,0,0
1180152614190759942,1,0
1180152598453800964,0,0
1180151729234612225,1,0
1180151580638752768,0,0
1180151558824189953,1,0
1180151540562178048,0,0
1180151351365554177,0,1
1180150911240417282,0,0
1180150900658249728,1,0
1180150839836643332,0,0
1180150732605005824,1,0
1180150667681382400,1,0
1180150621204340737,1,0
1180150389280247809,0,0
1180150374906421248,0,0
1180150211668135936,0,0
1180149891051524096,1,0
1180148599667265540,0,0
1180148521904803841,1,1
1180148507082141696,1,0
1180147947532689413,0,1
1180147199776317441,0,0
1180146790764597255,1,0
1180146476208594945,1,0
1180146450258366466,1,0
1180146179402862595,0,0
1180146089434988544,0,0
1180146004651315201,1,0
1180145858827948033,0,0
1180145724660604935,0,0
1180145298569646081,1,1
1180145106491457536,1,0
1180145058860994560,1,1
1180144945228857345,0,0
1180144528860307457,0,0
1180144521415462913,1,0
1180144475387158532,0,0
1180144339147776000,1,0
1180144081512648704,1,0
1180143909281914880,0,0
1180143843318083587,1,0
1180143767468281857,1,0
1180143561100136450,0,0
1180142971209031680,0,1
1180142960278740992,0,0
1180142943149187077,1,0
1180142929438035972,0,1
1180142917572276226,0,0
1180142745706516480,0,0
1180142692153614336,1,1
1180142587921010689,1,0
1180142470509875201,0,0
1180142439681658880,1,0
1180142370261786625,1,0
1180142004413620224,0,0
1180141917545345027,0,0
1180141159785607169,1,1
1180140825344389120,1,0
1180140796328189953,1,0
1180140176040976384,1,0
1180139951305953283,0,0
1180139323280244736,0,0
1180138834497028096,1,1
1180138581861584897,1,0
1180138396565544961,1,1
1180138032755810304,1,1
1180137853373882368,1,1
1180137826505183232,0,0
1180137275629490178,0,1
1180136768504504320,1,0
1180136538069458944,0,0
1180136528892350465,1,0
1180136436324012034,1,0
1180136288596439040,0,0
1180135945695354880,1,1
1180135715851702274,0,0
1180134958221922304,0,0
