tweet_id,party,argument,claim,evidence,unverifiable_claim,verifiable_claim,reason,external_evidence,toxic_language
685018876447485952,Alliance 90/The Greens,1,1,1,1,1,0,1,0
686449802905825280,Alliance 90/The Greens,1,1,1,1,0,0,1,0
686450493049159680,Alliance 90/The Greens,1,1,1,1,0,0,1,0
687664427873734656,Alliance 90/The Greens,1,0,1,0,0,0,1,0
688083197826084864,SPD,1,1,1,0,0,0,1,0
688316710793904128,The Left Party,1,0,0,1,0,0,1,0
689021290246737920,Alliance 90/The Greens,1,1,1,0,1,0,1,0
689722761959309312,Alliance 90/The Greens,1,1,0,1,0,0,0,0
691017736831569920,Alliance 90/The Greens,1,1,1,0,0,0,1,0
691597255934099456,Alliance 90/The Greens,1,1,1,1,0,0,1,0
691598940437942272,Alliance 90/The Greens,1,1,0,1,0,0,0,0
691712809693003776,Alliance 90/The Greens,1,1,1,1,1,0,1,0
692683513217155072,SPD,1,1,1,1,0,0,1,0
693163311723102208,Alliance 90/The Greens,1,1,1,0,0,0,1,0
694810911912124416,Alliance 90/The Greens,1,1,0,1,0,0,0,0
694832515064975360,Alliance 90/The Greens,1,1,0,1,1,0,0,0
694929399938875392,SPD,1,0,1,0,0,0,1,0
695604034632290304,The Left Party,1,1,1,1,0,0,1,0
695891890609262592,Alliance 90/The Greens,1,1,1,1,0,0,1,0
695904883057238016,Alliance 90/The Greens,1,1,1,1,0,0,1,0
695907179652628480,Alliance 90/The Greens,1,1,1,1,0,0,1,0
695971742246903808,Alliance 90/The Greens,1,1,1,1,0,0,1,0
696392318358831104,Alliance 90/The Greens,1,0,0,1,0,0,0,0
696393838542397440,Alliance 90/The Greens,1,1,1,1,0,0,1,0
696640923334283264,CDU/CSU,0,0,1,0,0,0,1,0
697339993958825984,Alliance 90/The Greens,1,0,1,0,0,0,1,0
697393113355124736,Alliance 90/The Greens,1,1,1,0,1,0,1,0
697395777379954688,Alliance 90/The Greens,1,1,1,1,0,0,1,0
697397123604750336,Alliance 90/The Greens,1,0,1,0,0,0,1,0
697710274263019520,Alliance 90/The Greens,1,1,1,1,0,0,1,0
697742558772985856,Alliance 90/The Greens,1,1,1,0,0,0,1,0
698115269466714112,Alliance 90/The Greens,1,0,1,0,0,0,1,0
698197594175049728,FDP,1,0,0,0,0,0,0,0
698205381714120704,FDP,0,0,0,0,0,0,0,0
699986038123556864,The Left Party,1,1,1,1,0,0,1,0
700349797480448000,Alliance 90/The Greens,1,1,1,1,0,0,1,0
702085272251539456,SPD,1,1,1,1,0,0,1,0
702136641335468032,CDU/CSU,1,1,1,1,0,0,1,0
702924127884152832,SPD,1,1,1,1,0,0,1,0
702924320620855296,SPD,1,1,1,1,0,0,1,0
703487363591364608,SPD,1,1,1,0,0,0,1,0
703890237940998144,Alliance 90/The Greens,1,1,1,1,0,0,1,0
704052554074890240,Alliance 90/The Greens,1,1,0,1,0,0,0,0
704361983009755136,CDU/CSU,1,1,1,1,0,0,1,0
704687455610474496,Alliance 90/The Greens,1,1,1,1,0,0,1,0
704937224341757952,Alliance 90/The Greens,1,1,0,1,0,0,0,0
704956588566704128,Alliance 90/The Greens,1,0,0,1,0,0,0,0
705037846760054784,SPD,1,1,1,1,0,0,1,0
705624025834237952,Alliance 90/The Greens,1,1,1,1,0,0,1,0
707175454638284800,Alliance 90/The Greens,1,1,1,1,0,0,1,0
708321700711038976,SPD,1,1,1,0,0,0,1,0
708705130699423744,SPD,1,1,1,1,0,0,1,0
708797779372544000,Alliance 90/The Greens,1,1,1,1,0,0,1,0
709299386136858624,Alliance 90/The Greens,1,1,0,1,0,0,1,0
709714475746725888,Alliance 90/The Greens,1,0,1,0,0,0,1,0
710397839034228736,SPD,1,1,0,1,0,0,0,0
710398520394715136,SPD,1,1,0,1,0,0,0,0
710433629042843648,Alliance 90/The Greens,1,1,1,1,1,0,1,0
711149390250041344,Alliance 90/The Greens,1,1,0,1,0,0,0,0
711991758343639040,Alliance 90/The Greens,1,1,1,1,0,0,1,0
711992657988362240,Alliance 90/The Greens,1,1,1,0,0,0,1,0
712024432575787008,Alliance 90/The Greens,1,1,0,1,0,0,0,0
712025686949498880,Alliance 90/The Greens,1,1,1,1,0,0,1,0
712048849355988992,Alliance 90/The Greens,1,1,0,1,0,0,0,0
712201010383626240,Alliance 90/The Greens,1,1,0,1,0,0,0,0
712268762184077312,Alliance 90/The Greens,1,1,1,1,0,0,1,0
712333175125647360,Alliance 90/The Greens,1,1,0,0,1,0,0,0
712767781146595328,Alliance 90/The Greens,1,1,1,1,0,0,1,0
714109530481827840,Alliance 90/The Greens,1,1,0,1,0,0,0,0
714871024857251840,Alliance 90/The Greens,1,1,1,1,0,0,1,0
715144805324627968,Alliance 90/The Greens,1,1,1,1,0,0,1,0
715530218367270912,Alliance 90/The Greens,1,1,1,0,1,0,1,0
715596613981499392,Alliance 90/The Greens,1,1,1,1,0,0,1,0
716222516231061504,Alliance 90/The Greens,1,1,1,0,1,0,1,0
716571479035547648,Alliance 90/The Greens,1,1,1,1,0,0,1,0
717676184155381760,CDU/CSU,1,1,1,1,0,0,1,0
718369663135195136,Alliance 90/The Greens,1,0,1,1,0,0,1,0
718903215702589440,Alliance 90/The Greens,1,1,0,0,0,0,1,0
719429097995268096,Alliance 90/The Greens,1,1,1,1,0,0,1,0
719515977185144832,SPD,1,1,0,1,0,0,0,0
719951134606159872,Alliance 90/The Greens,1,1,1,1,0,0,1,0
720162642766229504,Alliance 90/The Greens,1,1,1,0,0,0,1,0
720252952909189120,Alliance 90/The Greens,1,1,1,1,1,0,1,0
720345771195961344,Alliance 90/The Greens,1,1,1,1,0,0,1,0
721024264636403712,SPD,1,1,1,0,0,0,1,0
721028621176020992,Alliance 90/The Greens,1,1,1,1,0,0,1,0
721680534112440320,The Left Party,1,0,0,1,0,0,1,0
722086909829332992,Alliance 90/The Greens,1,1,1,1,0,0,0,0
722088334160498688,Alliance 90/The Greens,1,1,0,1,0,0,0,0
722181351768768512,Alliance 90/The Greens,1,1,0,1,0,0,0,1
722382622719156224,Alliance 90/The Greens,1,1,1,1,0,0,1,0
722483702379450368,Alliance 90/The Greens,0,1,1,1,0,0,1,1
722897896312479744,Alliance 90/The Greens,1,1,1,1,0,0,1,0
723073917716287488,The Left Party,1,0,1,1,0,0,1,0
723082904608346112,Alliance 90/The Greens,1,0,0,1,0,0,0,0
723412936962666496,Alliance 90/The Greens,1,1,1,1,0,0,1,0
723420929133412352,Alliance 90/The Greens,1,1,0,1,0,0,0,0
723424429481463808,Alliance 90/The Greens,1,1,0,1,1,0,0,0
723425422197682176,SPD,1,1,0,1,1,0,0,0
723522753026990080,Alliance 90/The Greens,1,1,0,1,0,0,0,0
723912733448650752,Alliance 90/The Greens,1,0,0,0,0,0,0,0
723947212334620672,Alliance 90/The Greens,0,0,0,0,0,0,0,0
724188764441030656,Alliance 90/The Greens,1,1,0,1,0,0,0,0
724193660154294272,Alliance 90/The Greens,1,1,1,1,0,0,1,0
724827554750861312,SPD,1,1,0,1,0,0,0,0
725347095251660800,CDU/CSU,1,1,0,1,0,0,0,0
725705567055007744,FDP,1,0,1,1,0,0,1,0
725785331954520064,The Left Party,1,1,0,1,0,0,0,0
727037989969338368,CDU/CSU,1,1,1,1,0,0,1,0
727125238308331520,SPD,1,1,1,1,0,0,1,0
727499935973818368,Alliance 90/The Greens,1,1,0,1,0,0,0,0
727535451087708160,The Left Party,1,1,1,1,0,0,1,0
728141778482667520,The Left Party,1,1,1,0,0,0,1,0
728494185981067264,Alliance 90/The Greens,1,1,1,1,0,0,1,0
728496277663715328,Alliance 90/The Greens,1,1,1,1,0,0,1,0
728497720097439744,Alliance 90/The Greens,1,1,1,1,0,0,1,0
728585227673669632,Alliance 90/The Greens,1,0,1,1,0,0,1,0
728883779775934464,Alliance 90/The Greens,1,1,0,1,1,0,0,0
729348183965478912,Alliance 90/The Greens,1,1,1,1,0,0,1,0
729670042711896064,SPD,1,1,0,1,0,0,0,0
730028664864256000,Alliance 90/The Greens,1,1,1,1,0,0,1,0
730478419692158976,Alliance 90/The Greens,1,0,1,0,0,0,1,0
730495545433829376,Alliance 90/The Greens,1,1,1,1,0,0,1,0
731080831150792704,CDU/CSU,1,0,1,0,0,0,1,0
731155975667875840,The Left Party,1,1,1,1,0,0,1,0
731157127855738880,The Left Party,1,0,1,0,0,0,1,0
731205763545235456,SPD,1,1,1,1,0,0,1,0
731463126290419712,Alliance 90/The Greens,1,0,1,0,0,0,1,0
731515845944479744,Alliance 90/The Greens,1,1,1,1,0,0,1,0
731571733019414528,SPD,1,1,1,0,0,0,1,0
731826026666459136,SPD,1,0,1,1,0,0,1,0
731832238216744960,SPD,1,1,1,1,0,0,1,0
731899616174718976,SPD,1,1,1,1,0,0,1,0
731924812969484288,Alliance 90/The Greens,1,1,1,1,1,0,1,0
732485129596067840,CDU/CSU,1,1,1,0,0,0,1,1
732601925716353024,SPD,1,0,0,0,0,0,0,0
732995207176847360,SPD,1,1,0,0,1,0,0,0
733546123764211712,Alliance 90/The Greens,1,0,1,0,0,0,1,0
733574698743697408,Alliance 90/The Greens,1,1,1,0,0,0,1,0
733663480348323840,Alliance 90/The Greens,1,1,1,0,0,0,1,0
733966590442655744,SPD,1,0,1,0,0,0,1,0
734930525975117824,Alliance 90/The Greens,1,1,1,0,1,0,1,0
735534666267164672,Alliance 90/The Greens,1,1,1,0,0,0,1,0
735697062063312896,Alliance 90/The Greens,0,1,0,0,0,0,0,0
735744933877841920,Alliance 90/The Greens,0,0,1,0,0,0,1,0
736564232662200320,SPD,1,1,1,1,0,0,1,0
736602993487937536,Alliance 90/The Greens,1,1,1,1,0,0,1,0
736609008182779904,Alliance 90/The Greens,0,0,0,0,0,0,1,0
737678953285091328,Alliance 90/The Greens,1,0,1,0,0,0,1,0
737761324390862848,Alliance 90/The Greens,1,1,1,1,0,0,1,0
738017166331662336,CDU/CSU,1,1,1,1,0,0,1,0
738359541809700864,Alliance 90/The Greens,1,1,1,1,0,0,1,0
738370700042510336,Alliance 90/The Greens,1,0,1,1,0,0,1,0
738476328878538752,Alliance 90/The Greens,1,0,0,1,0,0,0,0
738796804385480704,Alliance 90/The Greens,1,1,1,1,0,0,1,0
739543102717841408,Alliance 90/The Greens,1,1,1,0,1,0,1,0
739568574189174784,Alliance 90/The Greens,1,1,1,1,0,0,1,0
739835103837310976,Alliance 90/The Greens,1,1,1,1,0,0,1,0
739863842314956800,Alliance 90/The Greens,1,1,1,1,0,0,1,0
740488381512179712,SPD,1,1,1,1,0,0,1,0
740541693913616384,Alliance 90/The Greens,1,1,1,1,1,0,0,0
740553443362885632,Alliance 90/The Greens,1,1,1,1,0,0,1,0
740559658369351680,SPD,1,1,1,1,0,0,1,0
740807719481925632,Alliance 90/The Greens,1,1,0,0,0,0,0,0
740885427926749184,Alliance 90/The Greens,1,0,0,0,0,0,0,0
741890910456295424,Alliance 90/The Greens,1,1,1,1,0,0,1,0
742422502996115456,Alliance 90/The Greens,1,1,1,1,0,0,1,0
742466946956943360,The Left Party,1,1,1,1,0,0,1,0
742473660368359424,Alliance 90/The Greens,1,1,1,0,0,0,1,0
742721695140741120,Alliance 90/The Greens,1,1,1,0,0,0,1,0
743009323509555200,Alliance 90/The Greens,1,1,1,1,0,0,1,0
